Experiment,Citation,Depth,Sample date,Time (years),ambient CO2...6,increased CO2...7,ambient CO2...8,increased CO2...9,Description of data source,Value treatment
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ArizonaFACE - wheat - high N,Leavitt et al. 2001,0-15 cm,nov. 1995,0,1343.84,1228.4,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,Leavitt et al. 2001,0-15 cm,may 1996,0.5,1363.08,1305.3600000000001,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,Leavitt et al. 2001,0-15 cm,dec. 1996,1,1253.56,1263.92,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,Leavitt et al. 2001,0-15 cm,may 1997,1.5,1258,1400.08,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biosphere 2,Trueman and  Gonzalez-Meler 2005,0-25 cm,average 1999,0,5949.999999999996,6362.434210526315,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,0-25 cm,average 2000,1,5253.571428571431,4735.131578947367,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,0-25 cm,average 2001,2,6084.090909090911,4784.766081871344,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,0-25 cm,average 2002,3,5470.000000000001,4063.7894736842113,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,0-25 cm,average 2003,4,5334.999999999999,4220.350877192981,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China FACE - low N,Zhong et al. 2009,0-15 cm,mar. 2008,3.66,1936.6200000000001,2192.3999999999996,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - low N,Zhong et al. 2009,0-15 cm,jun. 2008,4,1936.6200000000001,2122.7999999999997,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - low N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China FACE - high N,Zhong et al. 2009,0-15 cm,mar. 2008,3.66,1926.1799999999998,2134.98,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - high N,Zhong et al. 2009,0-15 cm,jun. 2008,4,1936.6200000000001,2105.3999999999996,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - high N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China OTC - low N,Liu et al. 2010,0-20 cm,jul. 2005,0.33,1103.1712328767123,1168.4615384615386,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,nov. 2005,0.666,1035.6301369863013,1096.9230769230767,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,apr. 2006,1,1936.1780821917805,2384.6153846153843,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,aug. 2006,1.33,2318.91095890411,2217.692307692308,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,nov. 2006,1.66,2060.003424657534,2050.76923076923,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,apr. 2007,2,2431.479452054795,2301.153846153846,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,aug. 2007,2.33,2262.626712328767,2360.7692307692305,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,nov. 2007,2.66,2116.287671232877,2158.0769230769233,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,apr. 2008,3,3624.7054794520554,3314.6153846153843,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,aug. 2008,3.33,3253.229452054794,3278.8461538461534,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,0-20 cm,nov. 2008,3.66,3287,3410,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China OTC - high N,Liu et al. 2010,0-20 cm,jul. 2005,0.33,1200.7058823529412,1198.0677966101696,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,nov. 2005,0.666,921.970588235294,1409.4915254237287,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,apr. 2006,1,1929.7058823529412,2372.6440677966107,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,aug. 2006,1.33,1951.1470588235293,2513.5932203389834,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,nov. 2006,1.66,1586.6470588235297,3053.8983050847464,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,apr. 2007,2,2015.4705882352946,3030.406779661017,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,aug. 2007,2.33,2272.764705882353,2725.016949152542,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,nov. 2007,2.66,2187,2701.5254237288136,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,apr. 2008,3,3602.117647058824,3946.576271186441,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,aug. 2008,3.33,3580.6764705882356,4169.745762711865,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,0-20 cm,nov. 2008,3.66,3645,4158,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACTS I,Lichter et al. 2008,0-15 cm,aug. 1996,0,1977,2142,3,3,tab. 3,NA
FACTS I,Lichter et al. 2008,0-15 cm,oct. 1999,3.17,1902,2208,3,3,tab. 3,NA
FACTS I,Lichter et al. 2008,0-15 cm,aug. 2002,6,2407,2734,3,3,tab. 3,NA
FACTS I,Lichter et al. 2008,0-15 cm,aug. 2006,9,2164,2096,3,3,tab. 3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACTS II - Aspen,Talhelm et al. 2009,0-10 cm,2001,4,3575.07,3562.4,3,3,pers. comm.,NA
FACTS II - Aspen,Talhelm et al. 2009,0-10 cm,2003,6,3625.2200000000003,4434.77,3,3,pers. comm.,NA
FACTS II - Aspen,Talhelm et al. 2009,0-10 cm,2004,7,3235.4799999999996,3242.6400000000003,3,3,pers. comm.,NA
FACTS II - Aspen,Talhelm et al. 2009,0-10 cm,2005,8,3741.46,3506.2199999999993,3,3,pers. comm.,NA
FACTS II - Aspen,Talhelm et al. 2009,0-10 cm,2006,9,4243.47,3840.6799999999994,3,3,pers. comm.,NA
FACTS II - Aspen,Talhelm et al. 2009,0-10 cm,2007,10,4373.51,3760.06,3,3,pers. comm.,NA
FACTS II - Aspen,Talhelm et al. 2009,0-10 cm,2008,11,5118.869999999999,3267.4700000000003,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 cm,2001,4,3192.54,3199.4300000000003,3,3,pers. comm.,NA
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 cm,2003,6,3080.7999999999997,3433.2400000000002,3,3,pers. comm.,NA
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 cm,2004,7,3418.3599999999997,2804.18,3,3,pers. comm.,NA
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 cm,2005,8,3886.1400000000003,2889.98,3,3,pers. comm.,NA
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 cm,2006,9,4072.9700000000003,3444.45,3,3,pers. comm.,NA
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 cm,2007,10,4382.11,3268.49,3,3,pers. comm.,NA
FACTS II - Aspen (+O3),Talhelm et al. 2009,0-10 cm,2008,11,4782.79,3140.94,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 cm,2001,4,3256.0499999999997,3816.8100000000004,3,3,pers. comm.,NA
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 cm,2003,6,3347.32,3274.32,3,3,pers. comm.,NA
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 cm,2004,7,3407.67,3457.47,3,3,pers. comm.,NA
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 cm,2005,8,3652.93,3436.2799999999997,3,3,pers. comm.,NA
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 cm,2006,9,4432.999999999999,4196.18,3,3,pers. comm.,NA
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 cm,2007,10,4124.99,3831.5899999999997,3,3,pers. comm.,NA
FACTS II - Aspen/Birch,Talhelm et al. 2009,0-10 cm,2008,11,3483.65,3946.42,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 cm,2001,4,3305.46,3120.98,3,3,pers. comm.,NA
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 cm,2003,6,4104.62,3798.11,3,3,pers. comm.,NA
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 cm,2004,7,2942.85,3255.4499999999994,3,3,pers. comm.,NA
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 cm,2005,8,3577.5899999999997,3350.9500000000003,3,3,pers. comm.,NA
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 cm,2006,9,4083.14,4063.81,3,3,pers. comm.,NA
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 cm,2007,10,3909.2700000000004,4289.800000000001,3,3,pers. comm.,NA
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,0-10 cm,2008,11,4113.33,3849.28,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 cm,2001,4,2908.2000000000003,3541.12,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 cm,2003,6,3327.21,3185.62,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 cm,2004,7,3134.93,3269.54,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 cm,2005,8,4205.96,3959.5899999999997,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 cm,2006,9,4022.99,3849.77,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 cm,2007,10,4013.859999999999,4450.249999999999,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel,Talhelm et al. 2009,0-10 cm,2008,11,3947.7600000000007,4674.969999999999,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 cm,2001,4,3449.0800000000004,3333.9,3,3,pers. comm.,NA
